class_id,class_name,test_instances,precision,recall,f1,ap50,map50_95
0,Plastic,311,0.5,0.45016077170418006,0.4737732656514383,0.3812807486932118,0.28470288132634536
1,Metal,56,0.5769230769230769,0.26785714285714285,0.36585365853658536,0.242714148482269,0.2039463178052162
2,Glass,16,0.75,0.1875,0.3,0.16390328235158147,0.1260192337327118
3,Paper/Cardboard,80,0.3968253968253968,0.3125,0.34965034965034963,0.23393254599565105,0.1877863532609063
4,Organic,1,0.0,0.0,0.0,0.0,0.0
5,Other,173,0.16731517509727625,0.24855491329479767,0.19999999999999998,0.08060362164566529,0.040842641923512564
