comparison,metric,iterations,bootstrap_mean_difference,ci95_low,ci95_high,includes_zero
fine_direct_minus_material_direct,ap50,2000,-0.03243284948928183,-0.07890300566255472,0.008422296110638348,True
fine_direct_minus_material_direct,map50_95,2000,-0.012220492261519354,-0.04850706953669567,0.01936663018266681,True
fine_direct_minus_material_direct,f1,2000,-0.05518718598472297,-0.11760162023597015,-0.0008270761171468955,False
fine_as_material_minus_fine_direct,ap50,2000,0.07242884620871096,0.026014319956022113,0.12683059137816993,False
fine_as_material_minus_fine_direct,map50_95,2000,0.04436688461921471,0.0069225670405909994,0.08589015298270708,False
fine_as_material_minus_fine_direct,f1,2000,0.09661004982492401,0.03988773549772665,0.16350454024672742,False
fine_as_binary_minus_fine_direct,ap50,2000,0.3570552597953662,0.3048081275740956,0.40928128975971734,False
fine_as_binary_minus_fine_direct,map50_95,2000,0.23239968147139403,0.18954250960817362,0.2775627307686371,False
fine_as_binary_minus_fine_direct,f1,2000,0.32849172427979695,0.2800847867441237,0.3774353372741158,False
