class_id,class_name,test_instances,precision,recall,f1,ap50,map50_95
0,Plastic,311,0.4867924528301887,0.41479099678456594,0.4479166666666667,0.3610208668197129,0.24085315263971988
1,Metal,56,0.27419354838709675,0.30357142857142855,0.28813559322033894,0.18234074776337666,0.15858267939823742
2,Glass,16,0.16666666666666666,0.0625,0.09090909090909091,0.01564811653579151,0.0069762148628655955
3,Paper/Cardboard,80,0.25,0.2875,0.26744186046511625,0.16257960429193552,0.11573875622547695
4,Organic,1,0.0,0.0,0.0,0.0,0.0
5,Other,173,0.2602739726027397,0.10982658959537572,0.15447154471544713,0.06721003348543189,0.04040353575264318
