frequency_group,num_classes,mean_train_instances,mean_ap50_mean,mean_ap50_std,mean_map50_95_mean,mean_map50_95_std,mean_recall_mean,mean_recall_std
Rare,28,5.107142857142857,0.04592787403740373,0.009064694874311835,0.04366631305987742,0.008329803749313577,0.03015873015873016,0.006873217490352685
Medium,22,43.86363636363637,0.0976979559231001,0.021802089103265344,0.07743588609406793,0.015198855307576222,0.19776882916835067,0.048752087118981303
Frequent,10,225.1,0.20668695126925155,0.017203254742750015,0.1525545681887747,0.014443023912316931,0.2821637158275779,0.018883704495418683
