seed,taxonomy,precision,recall,map50,map50_95,f1
42,fine,0.3423946732702616,0.17957909999388547,0.17071589375101545,0.1426192045592313,0.2355939337107588
42,material,0.36758319641992054,0.24063335554841606,0.16876529679258467,0.11743693583689083,0.29085948980337123
42,binary,0.7982206564084248,0.4772370486656201,0.5669710886326143,0.39988351801205585,0.5973392433678163
123,fine,0.4300148265935347,0.1617161693425212,0.13553493647719853,0.10538365187971807,0.23504041868616143
123,material,0.4441837686437387,0.22941278206577828,0.2091025250397477,0.1577198557784774,0.3025592515451175
123,binary,0.7536682582434973,0.4850863422291994,0.56902176234809,0.4047487049271551,0.5902608612005681
2026,fine,0.3082657264772209,0.17836360385898176,0.13162624777686166,0.10470747751269478,0.2259764567939105
2026,material,0.34966464032681904,0.25317865418196717,0.17065031603372113,0.11874119015277186,0.29370028284083494
2026,binary,0.6977978452500907,0.5117739403453689,0.5642384377910541,0.41026261163341743,0.5904812878093763
