comparison,metric,mean_difference_across_seeds,std_difference_across_seeds,seeds_excluding_zero,num_seeds,consistent_direction,all_exclude_zero_same_direction,seed_intervals
fine_direct_minus_material_direct,ap50,-0.05060769405660426,0.02225404533336286,1,3,True,False,"42:[-0.0789,0.0084]; 123:[-0.1475,-0.0141]; 2026:[-0.0993,0.0039]"
fine_direct_minus_material_direct,map50_95,-0.028556957436282126,0.02254105630887169,1,3,True,False,"42:[-0.0485,0.0194]; 123:[-0.1127,-0.0037]; 2026:[-0.0606,0.0168]"
fine_direct_minus_material_direct,f1,-0.07407840518151726,0.02662243415559294,3,3,True,True,"42:[-0.1176,-0.0008]; 123:[-0.1960,-0.0224]; 2026:[-0.1297,-0.0070]"
fine_as_material_minus_fine_direct,ap50,0.06787720242702108,0.012394611865818117,3,3,True,True,"42:[0.0260,0.1268]; 123:[0.0266,0.1423]; 2026:[0.0082,0.1132]"
fine_as_material_minus_fine_direct,map50_95,0.03925322156425563,0.009891735357348835,2,3,True,False,"42:[0.0069,0.0859]; 123:[0.0070,0.0938]; 2026:[-0.0081,0.0729]"
fine_as_material_minus_fine_direct,f1,0.10096303518740556,0.007733231776143524,3,3,True,True,"42:[0.0399,0.1635]; 123:[0.0441,0.1955]; 2026:[0.0350,0.1728]"
fine_as_binary_minus_fine_direct,ap50,0.344656074214628,0.015566326703119469,3,3,True,True,"42:[0.3048,0.4093]; 123:[0.2917,0.4042]; 2026:[0.2719,0.3830]"
fine_as_binary_minus_fine_direct,map50_95,0.22574000751123724,0.011730585545907562,3,3,True,True,"42:[0.1895,0.2776]; 123:[0.1840,0.2769]; 2026:[0.1680,0.2587]"
fine_as_binary_minus_fine_direct,f1,0.3180769184593831,0.010537611923662545,3,3,True,True,"42:[0.2801,0.3774]; 123:[0.2613,0.3705]; 2026:[0.2559,0.3587]"
