evaluation_taxonomy,num_seeds,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ap50_mean,ap50_std,map50_95_mean,map50_95_std
fine,3,0.2373096749828735,0.05124780338542988,0.16702074675883205,0.01458865300658993,0.16788593993556486,0.015544689387895367,0.10314730265831622,0.006846993548638201,0.08182908718573502,0.004641363289296123
material,3,0.29355517495037214,0.048116289602485866,0.2564505460691547,0.0040469552429990485,0.26355003455423437,0.020797664541098673,0.17103698333983738,0.014524247814892333,0.12222030629520429,0.010208373604490338
binary,3,0.5675521070876656,0.062186034258681216,0.4594453165881737,0.026702984452481576,0.5055085384268506,0.010681285838204475,0.46579892922947647,0.014107313229999672,0.32188598062893464,0.011232412922014275
