seed,evaluation_taxonomy,precision,recall,f1,ap50,map50_95
42,fine,0.1848090313051541,0.1509133591023945,0.15120677329618193,0.09569141631710504,0.07659534649595708
42,material,0.2484642236362593,0.25441748247353885,0.2425156243575511,0.16779745523661968,0.12162407130958985
42,binary,0.5048543689320388,0.4897959183673469,0.49721115537848604,0.47091104291258984,0.32296134396898213
123,fine,0.2872052746145724,0.17080327637683632,0.1819693389145475,0.10915310442973498,0.08544506812377557
123,material,0.34421260371107326,0.2611109543811949,0.2841025792642844,0.18690746203457032,0.1327137300379631
123,binary,0.6292134831460674,0.43956043956043955,0.5175600739371534,0.4766374984311328,0.3325420380712806
2026,fine,0.23991471902889405,0.17934560479726538,0.17048170759596512,0.10459738722810863,0.08344684693747244
2026,material,0.28798869750378386,0.25382320135273034,0.2640319000408677,0.1584060327483221,0.11232311753805992
2026,binary,0.5685884691848907,0.4489795918367347,0.5017543859649123,0.44984824634470694,0.3101545598465412
