taxonomy,num_seeds,precision_mean,precision_std,recall_mean,recall_std,map50_mean,map50_std,map50_95_mean,map50_95_std,f1_mean,f1_std
fine,3,0.3602250754470057,0.06280249418710519,0.1732196243984628,0.009980804896477182,0.1459590260016919,0.021528965079797926,0.11757011131721472,0.02169578546928148,0.23220360306361024,0.005399963677543603
material,3,0.38714386846349275,0.050203897483609,0.2410749305987205,0.011889087885727383,0.18283937928868452,0.02276407131734249,0.13129932725604668,0.022890140134642138,0.2957063413964412,0.006102401936925998
binary,3,0.7498955866340044,0.05031759174026925,0.4913657770800628,0.018104493869184925,0.5667437629239195,0.0023997512762494485,0.40496494485754275,0.005192924598034109,0.5926937974592535,0.004024583548580457
