source_model,evaluation_taxonomy,precision,recall,f1,ap50,map50_95,map50,taxonomy,evaluation,num_classes_evaluated,test_images,test_instances
fine,fine,0.1848090313051541,0.1509133591023945,0.15120677329618193,0.09569141631710504,0.07659534649595708,0.09569141631710504,fine,class_aware,48,225,637
fine,material,0.2484642236362593,0.25441748247353885,0.2425156243575511,0.16779745523661968,0.12162407130958985,0.16779745523661968,material,class_aware,6,225,637
fine,binary,0.5048543689320388,0.4897959183673469,0.49721115537848604,0.47091104291258984,0.32296134396898213,0.47091104291258984,binary,class_aware,1,225,637
