class_id,class_name,test_instances,precision,recall,f1,ap50,map50_95
0,Plastic,311,0.5491071428571429,0.3954983922829582,0.4598130841121496,0.3721713067028143,0.26294297214627993
1,Metal,56,0.3380281690140845,0.42857142857142855,0.37795275590551175,0.22985602689807283,0.19060147596505622
2,Glass,16,0.07142857142857142,0.0625,0.06666666666666667,0.00839772174516336,0.0032697809290817698
3,Paper/Cardboard,80,0.4,0.225,0.28800000000000003,0.1951997346084271,0.13831484190540957
4,Organic,1,0.0,0.0,0.0,0.0,0.0
5,Other,173,0.23376623376623376,0.20809248554913296,0.22018348623853212,0.10421566593455142,0.04471718531503163
